Submission Date,記入者,掲載区分,掲載枠数,掲載開始 年月日,掲載終了 年月日,会社名,会社名ローマ字,担当者様名,郵便番号,住所,営業時間,電話番号(固定),電話番号(携帯),FAX番号,E-mail,ウェブサイト,主な勤務地,地域名,雇用期間,雇用形態,勤務時間A,勤務時間B,勤務時間C,定休日,職種,採用人数,お仕事内容詳細,月額給与 (下限),月額給与 (上限),日額給与 (下限),日額給与 (上限),時給 (下限),時給 (上限),各種条件,通勤手当上限金額,待遇詳細,経験,学歴,必要資格,応募資格詳細,応募方法,びゅ～紹介文章1,びゅ～紹介文章2,その他備考,@びゅ～画像1,@びゅ～画像2,@びゅ～画像3,びゅ～文字画像1,びゅ～文字画像2,びゅ～文字画像3,昼Web画像1,昼Web画像2,昼Web画像3,昼Web画像4,昼Web画像5,昼Web画像6,昼Web画像7,昼Web画像8,昼Web画像9,昼Web画像10,昼Web画像11,昼Web紹介文章1,昼Web紹介文章2,昼Web紹介文章3,昼Web紹介文章4,昼Web紹介文章5,夜Web画像1-1,夜Web画像1-2,夜Web画像1-3,夜Web画像2,夜Web画像3,夜Web画像4,夜Web画像5-1,夜Web画像5-2,夜Web画像5-3,夜Web画像5-4,夜Web画像5-5,夜Web紹介文章1,夜Web紹介文章2,夜Web紹介文章3,夜Web紹介文章4,夜Web紹介文章5
2017-04-13 13:43:35,岩波,夜びゅ～,1枠,2017/05/01,2018-04-30,クラブあんず,anzu,増崎さん,810-0801,博多区中洲2-6-7ジョイフルヤマモトビル3F,20:00 - 1:00 ,,電話:090-8629-9679,,,,博多区中洲2-6-7ジョイフルヤマモトビル3F,中洲,,バイト,20:00 - 1:00 ,,,"日曜日, 祝日, お盆, 正月",販売・営業・旅行・サービス系,5,お客様にテーブルでお酒を作ったり、楽しくお話ししたりして、お客様に楽しんでもらうお仕事です。,,,,,"3,500円",,制服あり,, -日払いOK -体験入店OK -送迎有 -ドレス貸与有  -各種売上バック有 -ネイル・ピアスOK,不問,不問,, -お酒を飲めない方OK  -未経験者大歓迎  -学生さんWワークの方歓迎,電話後、履歴書持参,フロアレディ&ホールスタッフ募集!    会員制クラブあんずで働きませんか。,※質問・相談・お店見学だけでもOKです。    まずはご希望の曜日・時間帯ありましたら            お気軽にお問い合わせ下さい。                                                                                                               短時間勤務での高収入、売上バック、稼いでみませんか。,お気軽にお問い合わせください。,anzu1.jpg,anzu2.jpg,anzu3.jpg,楽しい時間を！,,,https://www.jotform.com/uploads/lvojp/70273151997462/3678678156919327394/10.png,https://www.jotform.com/uploads/lvojp/70273151997462/3678678156919327394/02.png,https://www.jotform.com/uploads/lvojp/70273151997462/3678678156919327394/08.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10 14:32:31,岩波,昼びゅ～,1枠,2017/05/01,2018-04-30,株式会社スフィアリンク,spherelink,人事部１,810-0001,福岡市中央区天神1-9-17,9:00 - 17:00 ,固定電話:092-717-3529,,FAX:092-982-8877,info@kyujin-view.net,http://kyujin-view.net,福岡市中央区天神1-9-17,天神,,正社員,9:00 - 17:00 ,,,"土曜日, 日曜日, 祝日, お盆, 正月",IT・エンジニア系,5,求人サイトの運営業務,"180,000円","350,000円","8,000円","15,000円",,,"保険あり, 社会保険完備, 交通費支給あり","10,000円",技術者優遇,要経験,不問,,,電話後、履歴書持参,あなたの技術を活かしませんか！やりがいのある職場です。やる気のある方募集！,経験者の方相談可、楽しくやりがいのある職場作りをしていきましょう。,お気軽にお問い合わせください。&#13;&#10;,IMG_1240.JPG,,,,,,https://www.jotform.com/uploads/lvojp/70273151997462/3676115516914319247/IMG_1240.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-06 18:17:37,岩波,昼びゅ～,1枠,2017/5/17,2018-4-30,セイケン株式会社,seiken,人事,816-0921,大野城市仲畑1丁目30-1-3号,8:00 - 17:00 ,固定電話:092-982-8700,電話:080-9105-5577,FAX:092-982-8701,,,大野城市仲畑1丁目30-1-3号,大野城市,,正社員,8:00 - 17:00 ,,,"日曜日, お盆, 正月, 不定期",工場・軽作業・物流・土木系,3,左官の仕事になります。主にコンクリートの均し、仕上げになります。,"230,000円","400,000円","10,000円","13,000円",,,"保険あり, 社会保険完備, 自動車通勤OK, 自転車通勤OK",,,要経験,不問,普通自動車免許,やる気のある方,電話後、履歴書持参,一人一人が技術を身につけ、安定した仕事ができる会社です。　　　　　,安心の社会保険完備、技術職なので長く続けられます。    みんなで作業するので、未経験者の方でも安心して、作業    できます。なので、初心者でも大歓迎！    やる気のある方待ってます！  　　　　　　　　　　　　　　　　　　　　　　　　　　  　　　　　　　　　　　　　　　　　　　　　　　　　　  　　　　　　　　　　　　　　　　　　　　　　　　　　  　　　　　　　　　　　　　　　　　　　　　　　　　　　,お気軽にお問い合わせください。&#13;&#10;,data3b.jpg,unspecified (7).jpg,unspecified (8).jpg,画像1,,,https://www.jotform.com/uploads/lvojp/70273151997462/3672794578643799281/data3b.jpg,https://www.jotform.com/uploads/lvojp/70273151997462/3672794578643799281/IMG_1343.JPG,https://www.jotform.com/uploads/lvojp/70273151997462/3672794578643799281/IMG_1356.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05 17:30:06,岩波,昼びゅ～,1枠,2017/05/02,2018-4-30,シグナル株式会社,signal,脇山,816-0921,大野城市仲畑1丁目30-1-3号,8:00 - 17:00 ,固定電話:092-982-4248,電話:080-9189-9745,FAX:092-982-4249,,,大野城市仲畑1丁目30-1-3号,大野城市,,正社員,8:00 - 17:00 ,,,"日曜日, お盆, 正月",工場・軽作業・物流・土木系,3,土間コンクリートの均し、及び仕上げ作業になります。  コンクリートを平らにしていく作業なので、日々やりがいのある作業となります。,"250,000円","400,000円","10,000円","13,000円",,,"試用期間あり, 保険あり, 社会保険完備",,経験者優遇,不問,不問,普通自動車免許,,電話後、履歴書持参,左官業の中でも土間コンクリート専門でやっています。  建物がある限りコンクリート作業は欠かせないものとなります。そんな技術を身につけていきましょう。,,お気軽にお問い合わせください。,IMG_1520 2.PNG,unspecified (4).jpg,unspecified (5).jpg,,,,https://www.jotform.com/uploads/lvojp/70273151997462/3671902056913633197/IMG_1326.JPG,https://www.jotform.com/uploads/lvojp/70273151997462/3671902056913633197/IMG_1353.JPG,https://www.jotform.com/uploads/lvojp/70273151997462/3671902056913633197/IMG_1354.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-13 13:43:35,岩波,夜びゅ～,1枠,2017/05/01,2018-04-30,クラブあんず,anzu,増崎さん,810-0801,博多区中洲2-6-7ジョイフルヤマモトビル3F,20:00 - 1:00 ,,電話:090-8629-9679,,,,博多区中洲2-6-7ジョイフルヤマモトビル3F,中洲,,バイト,20:00 - 1:00 ,,,"日曜日, 祝日, お盆, 正月",販売・営業・旅行・サービス系,5,お客様にテーブルでお酒を作ったり、楽しくお話ししたりして、お客様に楽しんでもらうお仕事です。,,,,,"3,500円",,制服あり,, -日払いOK -体験入店OK -送迎有 -ドレス貸与有  -各種売上バック有 -ネイル・ピアスOK,不問,不問,, -お酒を飲めない方OK  -未経験者大歓迎  -学生さんWワークの方歓迎,電話後、履歴書持参,フロアレディ&ホールスタッフ募集!    会員制クラブあんずで働きませんか。,※質問・相談・お店見学だけでもOKです。    まずはご希望の曜日・時間帯ありましたら            お気軽にお問い合わせ下さい。                                                                                                               短時間勤務での高収入、売上バック、稼いでみませんか。,お気軽にお問い合わせください。,anzu1.jpg,anzu2.jpg,anzu3.jpg,楽しい時間を！,,,https://www.jotform.com/uploads/lvojp/70273151997462/3678678156919327394/10.png,https://www.jotform.com/uploads/lvojp/70273151997462/3678678156919327394/02.png,https://www.jotform.com/uploads/lvojp/70273151997462/3678678156919327394/08.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10 14:32:31,岩波,昼びゅ～,1枠,2017/05/01,2018-04-30,株式会社スフィアリンク,spherelink,人事部１,810-0001,福岡市中央区天神1-9-17,9:00 - 17:00 ,固定電話:092-717-3529,,FAX:092-982-8877,info@kyujin-view.net,http://kyujin-view.net,福岡市中央区天神1-9-17,天神,,正社員,9:00 - 17:00 ,,,"土曜日, 日曜日, 祝日, お盆, 正月",IT・エンジニア系,5,求人サイトの運営業務,"180,000円","350,000円","8,000円","15,000円",,,"保険あり, 社会保険完備, 交通費支給あり","10,000円",技術者優遇,要経験,不問,,,電話後、履歴書持参,あなたの技術を活かしませんか！やりがいのある職場です。やる気のある方募集！,経験者の方相談可、楽しくやりがいのある職場作りをしていきましょう。,お気軽にお問い合わせください。&#13;&#10;,IMG_1240.JPG,,,,,,https://www.jotform.com/uploads/lvojp/70273151997462/3676115516914319247/IMG_1240.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-06 18:17:37,岩波,昼びゅ～,1枠,2017/5/17,2018-4-30,セイケン株式会社,seiken,人事,816-0921,大野城市仲畑1丁目30-1-3号,8:00 - 17:00 ,固定電話:092-982-8700,電話:080-9105-5577,FAX:092-982-8701,,,大野城市仲畑1丁目30-1-3号,大野城市,,正社員,8:00 - 17:00 ,,,"日曜日, お盆, 正月, 不定期",工場・軽作業・物流・土木系,3,左官の仕事になります。主にコンクリートの均し、仕上げになります。,"230,000円","400,000円","10,000円","13,000円",,,"保険あり, 社会保険完備, 自動車通勤OK, 自転車通勤OK",,,要経験,不問,普通自動車免許,やる気のある方,電話後、履歴書持参,一人一人が技術を身につけ、安定した仕事ができる会社です。　　　　　,安心の社会保険完備、技術職なので長く続けられます。    みんなで作業するので、未経験者の方でも安心して、作業    できます。なので、初心者でも大歓迎！    やる気のある方待ってます！  　　　　　　　　　　　　　　　　　　　　　　　　　　  　　　　　　　　　　　　　　　　　　　　　　　　　　  　　　　　　　　　　　　　　　　　　　　　　　　　　  　　　　　　　　　　　　　　　　　　　　　　　　　　　,お気軽にお問い合わせください。&#13;&#10;,data3b.jpg,unspecified (7).jpg,unspecified (8).jpg,画像1,,,https://www.jotform.com/uploads/lvojp/70273151997462/3672794578643799281/data3b.jpg,https://www.jotform.com/uploads/lvojp/70273151997462/3672794578643799281/IMG_1343.JPG,https://www.jotform.com/uploads/lvojp/70273151997462/3672794578643799281/IMG_1356.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05 17:30:06,岩波,昼びゅ～,1枠,2017/05/02,2018-4-30,シグナル株式会社,signal,脇山,816-0921,大野城市仲畑1丁目30-1-3号,8:00 - 17:00 ,固定電話:092-982-4248,電話:080-9189-9745,FAX:092-982-4249,,,大野城市仲畑1丁目30-1-3号,大野城市,,正社員,8:00 - 17:00 ,,,"日曜日, お盆, 正月",工場・軽作業・物流・土木系,3,土間コンクリートの均し、及び仕上げ作業になります。  コンクリートを平らにしていく作業なので、日々やりがいのある作業となります。,"250,000円","400,000円","10,000円","13,000円",,,"試用期間あり, 保険あり, 社会保険完備",,経験者優遇,不問,不問,普通自動車免許,,電話後、履歴書持参,左官業の中でも土間コンクリート専門でやっています。  建物がある限りコンクリート作業は欠かせないものとなります。そんな技術を身につけていきましょう。,,お気軽にお問い合わせください。,IMG_1520 2.PNG,unspecified (4).jpg,unspecified (5).jpg,,,,https://www.jotform.com/uploads/lvojp/70273151997462/3671902056913633197/IMG_1326.JPG,https://www.jotform.com/uploads/lvojp/70273151997462/3671902056913633197/IMG_1353.JPG,https://www.jotform.com/uploads/lvojp/70273151997462/3671902056913633197/IMG_1354.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-13 13:43:35,岩波,夜びゅ～,1枠,2017/05/01,2018-04-30,クラブあんず,anzu,増崎さん,810-0801,博多区中洲2-6-7ジョイフルヤマモトビル3F,20:00 - 1:00 ,,電話:090-8629-9679,,,,博多区中洲2-6-7ジョイフルヤマモトビル3F,中洲,,バイト,20:00 - 1:00 ,,,"日曜日, 祝日, お盆, 正月",販売・営業・旅行・サービス系,5,お客様にテーブルでお酒を作ったり、楽しくお話ししたりして、お客様に楽しんでもらうお仕事です。,,,,,"3,500円",,制服あり,, -日払いOK -体験入店OK -送迎有 -ドレス貸与有  -各種売上バック有 -ネイル・ピアスOK,不問,不問,, -お酒を飲めない方OK  -未経験者大歓迎  -学生さんWワークの方歓迎,電話後、履歴書持参,フロアレディ&ホールスタッフ募集!    会員制クラブあんずで働きませんか。,※質問・相談・お店見学だけでもOKです。    まずはご希望の曜日・時間帯ありましたら            お気軽にお問い合わせ下さい。                                                                                                               短時間勤務での高収入、売上バック、稼いでみませんか。,お気軽にお問い合わせください。,anzu1.jpg,anzu2.jpg,anzu3.jpg,楽しい時間を！,,,https://www.jotform.com/uploads/lvojp/70273151997462/3678678156919327394/10.png,https://www.jotform.com/uploads/lvojp/70273151997462/3678678156919327394/02.png,https://www.jotform.com/uploads/lvojp/70273151997462/3678678156919327394/08.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10 14:32:31,岩波,昼びゅ～,1枠,2017/05/01,2018-04-30,株式会社スフィアリンク,spherelink,人事部１,810-0001,福岡市中央区天神1-9-17,9:00 - 17:00 ,固定電話:092-717-3529,,FAX:092-982-8877,info@kyujin-view.net,http://kyujin-view.net,福岡市中央区天神1-9-17,天神,,正社員,9:00 - 17:00 ,,,"土曜日, 日曜日, 祝日, お盆, 正月",IT・エンジニア系,5,求人サイトの運営業務,"180,000円","350,000円","8,000円","15,000円",,,"保険あり, 社会保険完備, 交通費支給あり","10,000円",技術者優遇,要経験,不問,,,電話後、履歴書持参,あなたの技術を活かしませんか！やりがいのある職場です。やる気のある方募集！,経験者の方相談可、楽しくやりがいのある職場作りをしていきましょう。,お気軽にお問い合わせください。&#13;&#10;,IMG_1240.JPG,,,,,,https://www.jotform.com/uploads/lvojp/70273151997462/3676115516914319247/IMG_1240.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
